ID do Veículo | Placa | Marca | Modelo | Ano | Disponibilidade
100000 | ABC1234 | Volkswagen | Amarok | 2000 | Disponível
100001 | EUN6Y96 | Ram | Ram 1500 | 2024 | Indisponível
100002 | UOA4N82 | Iveco | Daily 45-170 | 2013 | Indisponível
100003 | VRH1Y95 | Chevrolet | S10 | 2021 | Indisponível
100004 | APX7804 | Toyota | HiAce | 2023 | Indisponível
100005 | MRU4O39 | Ford | F-250 | 2009 | Disponível
100006 | CTC7734 | Iveco | S-Way 570 | 2011 | Disponível
100007 | BLJ2585 | Volkswagen | Delivery 4.150 | 2017 | Disponível
100008 | XUH1321 | Volkswagen | Delivery 4.150 | 2006 | Disponível
100009 | OVE3R25 | Nissan | Frontier | 2014 | Indisponível
100010 | BVC2O36 | Ram | ProMaster Van | 2020 | Disponível
100011 | NWE0F22 | Fiat | Toro | 2011 | Indisponível
100012 | QGN4R21 | Toyota | HiAce | 2012 | Indisponível
100013 | MCP3993 | MAN | TGS 26.440 | 2008 | Indisponível
100014 | GUV5V36 | Fiat | Ducato Cargo Maxi | 2007 | Indisponível
100015 | KCU8832 | Renault | Trafic | 2023 | Disponível
100016 | HGP2G48 | MAN | TGL 12.250 | 2007 | Disponível
100017 | KHX2964 | MAN | TGM 26.290 | 2014 | Indisponível
100018 | CDD7L35 | Ram | ProMaster Van | 2022 | Disponível
100019 | USP4490 | Ford | F-350 | 2011 | Indisponível
100020 | BQJ5H29 | Mitsubishi | L200 Savana | 2005 | Disponível
100021 | VNU2150 | Nissan | Frontier XE | 2011 | Disponível
100022 | JFI3C93 | Chevrolet | S10 | 2012 | Disponível
100023 | YGZ6412 | Hyundai | HD 80 | 2011 | Indisponível
100024 | GLJ5R67 | Iveco | S-Way 570 | 2015 | Disponível
100025 | JID0343 | Volvo | FH 540 | 2024 | Disponível
100026 | TIP9996 | Mitsubishi | Fuso Canter 6.5 | 2014 | Disponível
100027 | HXE9468 | Toyota | Hilux | 2009 | Disponível
100028 | IJY5110 | Ford | F-4000 | 2011 | Disponível
100029 | GYR3324 | Renault | Master Furgão | 2007 | Disponível
100030 | MRX5827 | Toyota | Hilux | 2022 | Disponível
100031 | ZCO1I93 | Volvo | FH 460 | 2017 | Disponível
100032 | YVN0M00 | Volvo | FH 500 | 2018 | Disponível
100033 | AVH7S86 | Ford | F-350 | 2010 | Indisponível
100034 | IAO7D39 | Fiat | Toro | 2009 | Disponível
100035 | LHY5411 | Iveco | Daily 35-150 | 2023 | Disponível
100036 | MIZ5D83 | Renault | Alaskan | 2008 | Disponível
100037 | RWW5236 | Iveco | Tector 24-300 | 2018 | Disponível
100038 | QMK6R15 | Mitsubishi | L200 Savana | 2017 | Disponível
